freq,unit,accident,geo\TIME_PERIOD	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,NR,RSTK_MOT,TR	170 	147 	140 	137 	84 	73 	58 	31 	37 	36 	36 	19 	33 	: 	14 	19 	: 	: 
A,NR,RSTK_MOT,UK	49 	61 	57 	49 	34 	54 	49 	34 	25 	31 	30 	39 	33 	20 	17 	: 	: 	: 
A,NR,TOTAL,AT	106 	104 	97 	88 	79 	84 	87 	73 	61 	77 	87 	60 	42 	47 	33 	34 	57 	56 
A,NR,TOTAL,BE	187 	217 	220 	146 	40 	51 	36 	32 	47 	21 	22 	33 	31 	27 	30 	24 	26 	26 
A,NR,TOTAL,BG	84 	56 	65 	48 	39 	74 	48 	33 	58 	48 	40 	47 	42 	39 	33 	37 	32 	33 
A,NR,TOTAL,CH	: 	: 	: 	58 	51 	44 	43 	43 	55 	33 	37 	47 	38 	35 	38 	44 	42 	42 
A,NR,TOTAL,CHUNNEL	: 	0 	2 	1 	1 	2 	2 	1 	0 	1 	0 	0 	5 	0 	0 	0 	1 	0 
A,NR,TOTAL,CZ	233 	115 	133 	113 	125 	99 	97 	91 	105 	94 	87 	97 	89 	91 	90 	112 	109 	94 
A,NR,TOTAL,DE	983 	320 	329 	310 	297 	285 	289 	301 	333 	306 	310 	346 	302 	298 	294 	238 	337 	312 
A,NR,TOTAL,DK	32 	13 	15 	21 	16 	16 	21 	11 	15 	13 	13 	12 	10 	10 	10 	9 	14 	13 
A,NR,TOTAL,EE	: 	49 	26 	19 	31 	28 	20 	15 	15 	12 	15 	19 	21 	5 	5 	10 	14 	18 
A,NR,TOTAL,EL	70 	53 	40 	42 	39 	24 	18 	14 	23 	25 	13 	22 	24 	18 	9 	14 	19 	7 
A,NR,TOTAL,ES	77 	98 	80 	51 	45 	42 	51 	52 	51 	42 	45 	52 	47 	49 	51 	52 	59 	77 
A,NR,TOTAL,EU27_2020	: 	: 	: 	: 	2229 	2144 	1992 	1895 	2022 	1763 	1742 	1778 	1666 	1518 	1336 	1395 	1566 	1567 
A,NR,TOTAL,FI	52 	21 	27 	26 	23 	14 	21 	12 	15 	13 	18 	17 	15 	14 	12 	25 	17 	21 
A,NR,TOTAL,FR	431 	413 	453 	171 	155 	154 	136 	146 	177 	150 	146 	151 	119 	123 	104 	138 	134 	146 
A,NR,TOTAL,HR	: 	: 	: 	: 	45 	39 	42 	33 	33 	27 	23 	33 	25 	28 	22 	22 	24 	18 
A,NR,TOTAL,HU	409 	162 	155 	180 	142 	147 	152 	186 	190 	156 	162 	160 	162 	142 	98 	102 	97 	70 
A,NR,TOTAL,IE	2 	5 	5 	5 	4 	2 	0 	3 	3 	1 	0 	4 	6 	2 	0 	1 	1 	5 
A,NR,TOTAL,IT	152 	130 	116 	118 	100 	106 	106 	98 	109 	97 	99 	104 	109 	75 	89 	90 	109 	113 
A,NR,TOTAL,LT	66 	83 	68 	55 	44 	33 	26 	24 	16 	13 	20 	27 	15 	9 	9 	11 	7 	11 
A,NR,TOTAL,LU	: 	: 	: 	7 	3 	1 	0 	3 	0 	0 	2 	1 	2 	0 	1 	4 	6 	3 
A,NR,TOTAL,LV	63 	51 	61 	40 	41 	35 	25 	26 	22 	25 	18 	24 	20 	19 	9 	11 	16 	7 
A,NR,TOTAL,ME	: 	: 	: 	: 	: 	: 	: 	49 	13 	8 	43 	: 	: 	: 	: 	: 	: 	: 
A,NR,TOTAL,MK	: 	: 	: 	106 	137 	104 	115 	59 	90 	115 	88 	45 	97 	: 	: 	: 	: 	: 
A,NR,TOTAL,NL	28 	33 	26 	22 	24 	29 	30 	36 	20 	31 	28 	26 	29 	25 	20 	22 	21 	20 
A,NR,TOTAL,NO	16 	12 	15 	17 	20 	36 	19 	30 	28 	19 	16 	16 	25 	26 	20 	24 	23 	33 
A,NR,TOTAL,PL	928 	976 	889 	523 	449 	488 	379 	328 	313 	307 	265 	252 	275 	214 	179 	209 	225 	233 
A,NR,TOTAL,PT	89 	93 	73 	43 	42 	27 	36 	48 	50 	23 	38 	29 	37 	51 	43 	33 	34 	34 
A,NR,TOTAL,RO	419 	370 	411 	304 	271 	217 	215 	180 	185 	141 	184 	146 	132 	115 	107 	102 	115 	119 
A,NR,TOTAL,SE	51 	56 	46 	46 	69 	54 	47 	43 	53 	40 	36 	40 	35 	45 	31 	29 	31 	49 
A,NR,TOTAL,SI	70 	61 	65 	19 	21 	11 	14 	13 	15 	14 	11 	11 	14 	10 	5 	10 	10 	17 
A,NR,TOTAL,SK	199 	222 	217 	236 	85 	84 	96 	94 	113 	87 	60 	65 	63 	62 	52 	56 	52 	65 
A,NR,TOTAL,TR	455 	394 	386 	299 	194 	177 	147 	89 	93 	101 	120 	53 	71 	: 	66 	72 	: 	: 
A,NR,TOTAL,UK	85 	110 	104 	104 	62 	78 	75 	84 	54 	40 	53 	71 	50 	36 	27 	: 	: 	: 
A,NR,UNK,ME	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,NR,UNK,MK	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
A,NR,UNK,TR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	: 	: 
